# PSI-MS controlled vocabulary: https://raw.githubusercontent.com/HUPO-PSI/psi-ms-CV/master/psi-ms.obo
# Snapshot SHA256 606cf9ffe0e201a1fb947340f71e380b8cd1a4faaef02b4137ced050d965df2d
# data-version: 4.1.261
# Only category, accession and canonical label; no definitions or file-provided text.
INSTRUMENT_MODEL	MS:1000483	Thermo Fisher Scientific instrument model
INSTRUMENT_MODEL	MS:1000488	Hitachi instrument model
INSTRUMENT_MODEL	MS:1000489	Varian instrument model
INSTRUMENT_MODEL	MS:1000490	Agilent instrument model
INSTRUMENT_MODEL	MS:1000491	Dionex instrument model
INSTRUMENT_MODEL	MS:1000492	Thermo Electron instrument model
INSTRUMENT_MODEL	MS:1000493	Finnigan MAT instrument model
INSTRUMENT_MODEL	MS:1000494	Thermo Scientific instrument model
INSTRUMENT_MODEL	MS:1000495	Applied Biosystems instrument model
INSTRUMENT_MODEL	MS:1000554	LCQ Deca
INSTRUMENT_MODEL	MS:1000555	LTQ Orbitrap Discovery
INSTRUMENT_MODEL	MS:1000556	LTQ Orbitrap XL
INSTRUMENT_MODEL	MS:1000557	LTQ FT Ultra
INSTRUMENT_MODEL	MS:1000558	GC Quantum
INSTRUMENT_MODEL	MS:1000578	LCQ Fleet
INSTRUMENT_MODEL	MS:1000602	Shimadzu MALDI-TOF instrument model
INSTRUMENT_MODEL	MS:1000603	Shimadzu Scientific Instruments instrument model
INSTRUMENT_MODEL	MS:1000604	LCMS-IT-TOF
INSTRUMENT_MODEL	MS:1000605	LCMS-2010EV
INSTRUMENT_MODEL	MS:1000606	LCMS-2010A
INSTRUMENT_MODEL	MS:1000607	AXIMA CFR MALDI-TOF
INSTRUMENT_MODEL	MS:1000608	AXIMA-QIT
INSTRUMENT_MODEL	MS:1000609	AXIMA-CFR plus
INSTRUMENT_MODEL	MS:1000610	AXIMA Performance MALDI-TOF/TOF
INSTRUMENT_MODEL	MS:1000611	AXIMA Confidence MALDI-TOF
INSTRUMENT_MODEL	MS:1000612	AXIMA Assurance Linear MALDI-TOF
INSTRUMENT_MODEL	MS:1000622	Surveyor PDA
INSTRUMENT_MODEL	MS:1000623	Accela PDA
INSTRUMENT_MODEL	MS:1000632	Q-Tof Premier
